valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,longitude,latitude,year,date_mutation
147000.0,44.0,2,34070,3.858816,43.604228,2023,2023-01-04
140000.0,35.0,2,34090,3.876608,43.624243,2023,2023-01-05
163000.0,41.0,2,34000,3.889093,43.616551,2023,2023-01-04
82000.0,21.0,1,34070,3.891022,43.590893,2023,2023-01-04
76000.0,30.0,1,34080,3.846555,43.619867,2023,2023-01-06
218500.0,70.0,3,34000,3.886218,43.606132,2023,2023-01-05
136000.0,32.0,2,34070,3.894736,43.601725,2023,2023-01-09
391600.0,87.0,4,34090,3.873657,43.624511,2023,2023-01-04
162000.0,47.0,2,34090,3.852013,43.638711,2023,2023-01-10
165000.0,68.0,2,34080,3.835473,43.620775,2023,2023-01-10
140000.0,40.0,1,34090,3.876389,43.62884,2023,2023-01-03
383600.0,90.0,4,34090,3.873657,43.624511,2023,2023-01-06
141000.0,53.0,2,34070,3.86336,43.603421,2023,2023-01-10
162000.0,51.0,2,34000,3.873198,43.601834,2023,2023-01-11
134800.0,39.0,2,34070,3.882176,43.592181,2023,2023-01-04
124700.0,37.0,1,34080,3.841634,43.61433,2023,2023-01-04
316627.0,75.0,4,34070,3.883146,43.595795,2023,2023-01-05
190000.0,45.0,2,34070,3.859111,43.584012,2023,2023-01-12
197500.0,46.0,2,34000,3.904746,43.607399,2023,2023-01-10
241800.0,44.0,2,34090,3.878987,43.622238,2023,2023-01-06
150000.0,72.0,3,34000,3.894958,43.60679,2023,2023-01-04
90000.0,18.0,1,34090,3.856229,43.633435,2023,2023-01-06
107000.0,25.0,1,34000,3.869984,43.602866,2023,2023-01-12
135700.0,32.0,2,34000,3.882733,43.602668,2023,2023-01-06
150000.0,47.0,2,34090,3.854914,43.639456,2023,2023-01-06
87000.0,48.0,2,34080,3.825337,43.613277,2023,2023-01-04
150000.0,62.0,3,34070,3.846225,43.615092,2023,2023-01-04
86250.0,69.0,3,34090,3.888223,43.629318,2023,2023-01-06
230265.0,72.0,3,34070,3.867211,43.601296,2023,2023-01-12
147000.0,53.0,2,34070,3.86336,43.603421,2023,2023-01-16
140000.0,38.0,1,34000,3.875375,43.612671,2023,2023-01-16
136600.0,29.0,2,34000,3.883519,43.603445,2023,2023-01-05
153930.0,33.0,2,34070,3.881181,43.591522,2023,2023-01-13
90000.0,20.0,1,34090,3.855248,43.621569,2023,2023-01-04
240500.0,43.0,2,34000,3.902126,43.597026,2023,2023-01-10
155000.0,68.0,4,34070,3.884143,43.596092,2023,2023-01-10
281500.0,64.0,3,34000,3.883953,43.606577,2023,2023-01-09
275000.0,93.0,4,34070,3.882714,43.605685,2023,2023-01-11
99900.0,84.0,4,34080,3.818822,43.640044,2023,2023-01-10
162500.0,38.0,2,34070,3.82571,43.610805,2023,2023-01-18
143000.0,41.0,2,34090,3.859971,43.641182,2023,2023-01-11
245000.0,73.0,3,34070,3.854993,43.593074,2023,2023-01-09
155000.0,67.0,4,34070,3.890712,43.601006,2023,2023-01-09
154000.0,47.0,2,34090,3.877457,43.629374,2023,2023-01-12
74000.0,22.0,1,34090,3.852553,43.621567,2023,2023-01-16
115000.0,39.0,2,34080,3.841108,43.619029,2023,2023-01-12
137000.0,42.0,2,34000,3.899475,43.61403,2023,2023-01-19
265450.0,61.0,3,34090,3.871172,43.625552,2023,2023-01-11
255000.0,83.0,4,34000,3.881918,43.607734,2023,2023-01-17
175000.0,52.0,2,34070,3.894315,43.603038,2023,2023-01-06
30000.0,20.0,1,34070,3.892202,43.592591,2023,2023-01-05
270000.0,80.0,3,34070,3.84154,43.601208,2023,2023-01-06
385000.0,80.0,4,34070,3.84195,43.613602,2023,2023-01-03
300000.0,88.0,4,34000,3.891596,43.608404,2023,2023-01-06
143940.0,46.0,2,34070,3.837188,43.604041,2023,2023-01-12
118000.0,27.0,1,34000,3.898218,43.606595,2023,2023-01-17
490000.0,117.0,4,34090,3.87492,43.626032,2023,2023-01-19
202000.0,57.0,3,34070,3.885208,43.600898,2023,2023-01-10
171300.0,35.0,2,34000,3.897429,43.602694,2023,2023-01-23
105000.0,22.0,1,34090,3.871017,43.628949,2023,2023-01-11
76000.0,24.0,1,34070,3.852856,43.587074,2023,2023-01-04
382500.0,66.0,3,34000,3.89807,43.600095,2023,2023-01-13
152720.0,66.0,3,34080,3.826286,43.613981,2023,2023-01-16
99488.0,18.0,1,34000,3.874237,43.608304,2023,2023-01-24
255800.0,62.0,2,34000,3.873611,43.60826,2023,2023-01-12
108000.0,81.0,4,34080,3.814533,43.62401,2023,2023-01-20
185700.0,46.0,2,34000,3.886762,43.6266,2023,2023-01-05
120000.0,67.0,3,34070,3.885124,43.593451,2023,2023-01-05
286200.0,75.0,3,34000,3.895167,43.616383,2023,2023-01-05
109100.0,34.0,2,34080,3.819438,43.637329,2023,2023-01-20
262500.0,58.0,3,34000,3.899431,43.60052,2023,2023-01-11
332100.0,80.0,4,34000,3.872399,43.606062,2023,2023-01-13
60000.0,17.0,1,34080,3.837947,43.613467,2023,2023-01-17
81000.0,23.0,1,34090,3.847635,43.625801,2023,2023-01-06
118000.0,40.0,2,34080,3.843208,43.616384,2023,2023-01-20
161000.0,48.0,2,34090,3.842617,43.640476,2023,2023-01-05
174000.0,58.0,3,34070,3.854287,43.601316,2023,2023-01-23
212896.23,43.0,2,34000,3.898506,43.600792,2023,2023-01-18
152400.0,47.0,2,34090,3.840836,43.627719,2023,2023-01-11
223550.0,58.0,2,34000,3.863083,43.61359,2023,2023-01-18
152000.0,74.0,4,34080,3.851374,43.623156,2023,2023-01-25
105000.0,29.0,1,34000,3.878464,43.613969,2023,2023-01-10
202500.0,48.0,3,34090,3.85424,43.63974,2023,2023-01-18
347000.0,91.0,4,34000,3.888223,43.624367,2023,2023-01-25
186000.0,76.0,4,34000,3.867309,43.604202,2023,2023-01-20
156000.0,39.0,2,34070,3.851449,43.591723,2023,2023-01-23
168000.0,54.0,2,34080,3.829394,43.612241,2023,2023-01-12
257000.0,80.0,4,34000,3.878072,43.599938,2023,2023-01-12
153240.0,36.0,2,34000,3.900621,43.604085,2023,2023-01-02
155000.0,81.0,4,34070,3.867284,43.59399,2023,2023-01-05
235480.0,66.0,3,34090,3.875671,43.628496,2023,2023-01-16
320760.0,73.0,3,34070,3.842621,43.591855,2023,2023-01-03
119000.0,24.0,1,34090,3.864054,43.639624,2023,2023-01-19
173800.0,47.0,3,34090,3.89356,43.628754,2023,2023-01-23
212350.0,69.0,3,34080,3.836867,43.632166,2023,2023-01-23
147560.0,89.0,4,34070,3.854115,43.600002,2023,2023-01-17
256000.0,58.0,3,34000,3.889476,43.612657,2023,2023-01-09
180000.0,53.0,3,34090,3.863185,43.62493,2023,2023-01-20
110000.0,64.0,3,34080,3.830808,43.615516,2023,2023-01-06
184830.0,55.0,2,34070,3.859984,43.586125,2023,2023-01-19
227500.0,50.0,2,34000,3.895381,43.603174,2023,2023-01-05
338000.0,94.0,3,34090,3.87282,43.634744,2023,2023-01-20
150971.0,69.0,4,34070,3.8555,43.605346,2023,2023-01-17
142270.0,50.0,2,34090,3.872285,43.638446,2023,2023-01-17
92000.0,78.0,4,34070,3.886522,43.592608,2023,2023-01-19
299000.0,90.0,3,34000,3.872466,43.602029,2023,2023-01-12
268000.0,78.0,4,34000,3.867309,43.604202,2023,2023-01-13
192800.0,50.0,3,34070,3.873061,43.597892,2023,2023-01-12
195000.0,82.0,4,34090,3.854344,43.620476,2023,2023-01-05
70000.0,20.0,1,34090,3.872272,43.621929,2023,2023-01-16
126000.0,27.0,1,34000,3.868129,43.607204,2023,2023-01-06
220000.0,50.0,2,34000,3.88882,43.621477,2023,2023-01-10
98500.0,19.0,2,34000,3.868945,43.608804,2023,2023-01-30
152000.0,42.0,2,34070,3.875671,43.593798,2023,2023-01-09
165000.0,52.0,2,34070,3.858405,43.603943,2023,2023-01-13
185000.0,71.0,4,34070,3.856047,43.609575,2023,2023-01-25
210500.0,50.0,2,34000,3.892309,43.605712,2023,2023-01-05
225000.0,66.0,3,34070,3.86008,43.582786,2023,2023-01-27
122965.0,33.0,1,34000,3.878938,43.601675,2023,2023-01-27
178900.0,49.0,2,34000,3.892171,43.607591,2023,2023-01-10
717000.0,197.0,4,34000,3.878457,43.608182,2023,2023-01-23
199000.0,47.0,2,34090,3.871303,43.626414,2023,2023-01-20
130000.0,64.0,3,34080,3.826704,43.613257,2023,2023-01-27
122000.0,31.0,1,34090,3.844076,43.633477,2023,2023-01-23
175000.0,54.0,2,34070,3.857006,43.588056,2023,2023-01-06
90000.0,20.0,1,34090,3.869221,43.628744,2023,2023-01-19
133000.0,28.0,1,34000,3.898376,43.61992,2023,2023-01-13
315040.0,53.0,3,34090,3.874097,43.617226,2023,2023-01-19
134480.0,46.0,2,34080,3.840425,43.62456,2023,2023-01-13
244450.0,59.0,3,34070,3.886817,43.595251,2023,2023-01-20
184000.0,67.0,3,34070,3.88571,43.584374,2023,2023-01-20
130000.0,55.0,2,34070,3.836052,43.608116,2023,2023-01-25
144200.0,46.0,2,34070,3.850361,43.604001,2023,2023-01-16
60000.0,18.0,1,34080,3.824287,43.61458,2023,2023-01-18
69499.4,19.0,1,34090,3.864641,43.624832,2023,2023-01-30
303250.0,76.0,4,34090,3.857864,43.641347,2023,2023-01-06
58218.0,18.0,1,34070,3.856007,43.590733,2023,2023-01-12
168500.0,43.0,2,34080,3.846235,43.622413,2023,2023-01-16
180000.0,71.0,3,34070,3.859984,43.586125,2023,2023-01-05
106400.0,24.0,1,34000,3.87476,43.610337,2023,2023-01-25
109000.0,27.0,1,34090,3.846838,43.62966,2023,2023-01-20
274600.0,85.0,5,34000,3.872841,43.599049,2023,2023-01-06
99050.0,35.0,1,34070,3.874633,43.591677,2023,2023-01-11
201100.0,64.0,3,34000,3.881585,43.602884,2023,2023-01-03
335000.0,109.0,5,34090,3.865128,43.61914,2023,2023-01-09
291000.0,68.0,3,34000,3.906068,43.599979,2023,2023-01-10
58000.0,19.0,2,34000,3.870132,43.60253,2023,2023-01-10
162000.0,37.0,2,34000,3.898207,43.617475,2023,2023-01-20
106000.0,34.0,1,34090,3.846533,43.625619,2023,2023-01-24
182000.0,75.0,4,34080,3.843208,43.616384,2023,2023-01-27
536800.0,104.0,4,34090,3.880655,43.622579,2023,2023-01-27
129600.0,30.0,1,34090,3.851726,43.633071,2023,2023-01-13
147467.0,47.0,2,34070,3.853493,43.59371,2023,2023-01-06
204400.0,79.0,3,34070,3.874633,43.591677,2023,2023-01-20
226153.0,90.0,5,34070,3.868984,43.592641,2023,2023-01-30
110000.0,28.0,1,34000,3.864633,43.610943,2023,2023-01-09
177854.0,50.0,3,34000,3.866364,43.61021,2023,2023-01-09
211000.0,45.0,2,34000,3.877103,43.608427,2023,2023-01-05
173000.0,35.0,2,34070,3.89376,43.601154,2023,2023-01-16
300000.0,64.0,3,34000,3.902126,43.597026,2023,2023-01-10
240000.0,82.0,5,34000,3.888198,43.620449,2023,2023-01-10
104000.0,62.0,3,34080,3.834674,43.610876,2023,2023-01-06
192000.0,65.0,3,34070,3.859954,43.607871,2023,2023-01-11
70000.0,30.0,1,34080,3.841634,43.61433,2023,2023-01-30
145000.0,37.0,2,34000,3.895137,43.600662,2023,2023-01-09
208000.0,35.0,2,34000,3.901812,43.607064,2023,2023-01-30
296483.16,72.0,4,34070,3.89211,43.604068,2023,2023-01-20
170000.0,68.0,3,34000,3.888395,43.614724,2023,2023-01-16
392828.0,115.0,4,34000,3.890749,43.606067,2023,2023-01-20
223950.0,54.0,3,34070,3.849169,43.590632,2023,2023-01-23
338100.0,85.0,4,34000,3.87477,43.612831,2023,2023-01-27
151800.0,62.0,3,34000,3.882205,43.604434,2023,2023-01-30
240000.0,42.0,2,34000,3.869048,43.615726,2023,2023-01-17
74000.0,26.0,1,34090,3.873223,43.632688,2023,2023-01-09
237800.0,69.0,3,34090,3.871312,43.629774,2023,2023-01-05
130000.0,45.0,2,34070,3.84453,43.594567,2023,2023-01-27
96295.0,25.0,1,34090,3.833475,43.639115,2023,2023-01-11
260000.0,45.0,2,34000,3.869048,43.615726,2023,2023-01-20
125000.0,39.0,1,34000,3.873675,43.603204,2023,2023-01-03
265000.0,60.0,3,34090,3.88077,43.616171,2023,2023-01-10
87000.0,17.0,1,34090,3.873657,43.624511,2023,2023-02-01
163000.0,62.0,3,34070,3.883612,43.595422,2023,2023-01-19
179000.0,62.0,3,34070,3.84453,43.594567,2023,2023-01-26
282540.0,67.0,3,34070,3.894147,43.60314,2023,2023-01-26
120000.0,36.0,2,34070,3.858043,43.590199,2023,2023-01-25
145000.0,34.0,2,34000,3.885496,43.626822,2023,2023-01-05
74950.0,18.0,1,34090,3.852553,43.621567,2023,2023-01-30
423300.0,96.0,4,34070,3.846538,43.60439,2023,2023-02-02
115000.0,26.0,1,34000,3.876288,43.608074,2023,2023-01-31
144000.0,45.0,2,34090,3.865128,43.61914,2023,2023-01-13
438400.0,79.0,3,34000,3.871095,43.607911,2023,2023-01-31
99000.0,33.0,1,34000,3.878938,43.601675,2023,2023-01-23
51000.0,30.0,2,34070,3.866354,43.599036,2023,2023-01-23
160000.0,46.0,2,34000,3.895451,43.62403,2023,2023-01-27
264000.0,99.0,4,34090,3.862379,43.62716,2023,2023-01-17
582620.0,123.0,6,34070,3.891911,43.600223,2023,2023-01-30
329500.0,80.0,4,34000,3.874981,43.606247,2023,2023-01-18
198980.0,91.0,5,34080,3.841541,43.621563,2023,2023-01-18
311724.0,71.0,3,34000,3.887744,43.605203,2023,2023-01-30
171000.0,42.0,2,34090,3.838637,43.640729,2023,2023-02-01
222500.0,42.0,3,34070,3.867399,43.598088,2023,2023-01-23
241705.0,76.0,3,34080,3.830251,43.63296,2023,2023-01-30
273000.0,96.0,4,34070,3.84615,43.604807,2023,2023-01-18
110000.0,64.0,3,34090,3.852553,43.621567,2023,2023-01-19
487000.0,88.0,3,34080,3.835575,43.629711,2023,2023-01-27
93000.0,30.0,1,34000,3.894456,43.607935,2023,2023-01-20
266550.0,52.0,2,34000,3.879635,43.610161,2023,2023-01-20
510000.0,177.0,5,34000,3.879051,43.611526,2023,2023-01-20
105000.0,32.0,1,34090,3.875408,43.617164,2023,2023-01-30
262100.08,60.0,3,34000,3.9103,43.602999,2023,2023-02-02
149000.0,39.0,2,34000,3.878074,43.60495,2023,2023-01-24
210000.0,81.0,4,34070,3.866464,43.591485,2023,2023-02-03
234600.0,74.0,4,34070,3.843413,43.595189,2023,2023-01-09
207520.0,76.0,4,34070,3.857382,43.593153,2023,2023-01-31
315000.0,87.0,4,34090,3.871956,43.61824,2023,2023-01-05
146000.0,65.0,3,34070,3.854287,43.601316,2023,2023-01-30
145050.0,49.0,2,34070,3.874216,43.595399,2023,2023-01-31
207500.0,65.0,3,34070,3.859954,43.607871,2023,2023-01-31
266000.0,98.0,5,34070,3.87077,43.597489,2023,2023-01-16
241000.0,48.0,2,34000,3.90381,43.602447,2023,2023-01-18
119000.0,29.0,1,34090,3.878987,43.622238,2023,2023-01-26
277500.0,74.0,2,34000,3.880033,43.601586,2023,2023-01-27
230000.0,67.0,4,34000,3.894306,43.623446,2023,2023-01-26
256880.0,62.0,3,34090,3.850649,43.638338,2023,2023-02-03
117547.0,58.0,3,34070,3.8555,43.605346,2023,2023-01-19
212000.0,74.0,3,34070,3.837468,43.602094,2023,2023-01-27
88500.0,23.0,1,34070,3.891022,43.590893,2023,2023-01-26
255000.0,73.0,3,34090,3.851326,43.638536,2023,2023-01-23
83000.0,23.0,1,34070,3.891022,43.590893,2023,2023-02-03
137750.0,94.0,4,34080,3.841634,43.61433,2023,2023-01-23
125685.0,32.0,2,34000,3.873546,43.609983,2023,2023-02-01
208000.0,68.0,3,34070,3.874328,43.59028,2023,2023-01-20
181050.0,56.0,3,34070,3.847621,43.605817,2023,2023-01-27
261700.0,101.0,5,34080,3.838117,43.624314,2023,2023-01-16
194000.0,47.0,2,34000,3.901244,43.620771,2023,2023-02-03
105000.0,29.0,2,34070,3.867211,43.601296,2023,2023-01-26
70000.0,46.0,2,34000,3.873238,43.60992,2023,2023-01-20
129500.0,32.0,2,34000,3.873265,43.609851,2023,2023-01-30
146500.0,49.0,3,34000,3.871338,43.602013,2023,2023-02-03
115000.0,21.0,1,34000,3.897996,43.603349,2023,2023-01-20
136690.0,47.0,2,34080,3.824038,43.613803,2023,2023-02-06
195450.0,87.0,5,34080,3.843208,43.616384,2023,2023-01-13
99000.0,30.0,1,34090,3.856264,43.640812,2023,2023-01-23
142000.0,40.0,2,34070,3.853608,43.585779,2023,2023-01-19
85000.0,19.0,1,34000,3.878575,43.602153,2023,2023-01-25
158000.0,73.0,4,34070,3.868794,43.594206,2023,2023-01-09
360365.0,63.0,3,34000,3.907468,43.600344,2023,2023-01-30
260000.0,66.0,3,34000,3.909029,43.609992,2023,2023-01-27
130000.0,44.0,2,34000,3.868676,43.607124,2023,2023-01-24
263100.0,60.0,3,34000,3.907699,43.613384,2023,2023-01-13
