id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-438141,2023-01-04,000001,Vente,147000,3,,RTE DE LAVERUNE,3200,34070,34172,Montpellier,34,,,34172000HX0494,,,46,,8,43.95,,,,,,,2,3,Dépendance,,0,,,,,,3.858816,43.604228
2023-438141,2023-01-04,000001,Vente,147000,3,,RTE DE LAVERUNE,3200,34070,34172,Montpellier,34,,,34172000HX0494,,,46,,8,43.95,,,,,,,2,2,Appartement,44,2,,,,,,3.858816,43.604228
2023-438142,2023-01-05,000001,Vente,140000,383,,RUE DU PIOCH DE BOUTONNET,4440,34090,34172,Montpellier,34,,,34172000BP0155,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.876608,43.624243
2023-438142,2023-01-05,000001,Vente,140000,383,,RUE DU PIOCH DE BOUTONNET,4440,34090,34172,Montpellier,34,,,34172000BP0155,,,177,,,,,,,,,,1,2,Appartement,35,2,,,,,,3.876608,43.624243
2023-438143,2023-01-04,000001,Vente,163000,7,,IMP ESTEVE,2065,34000,34172,Montpellier,34,,,34172000CL0130,,,20,40.5,4,,,,,,,,2,3,Dépendance,,0,,,,,,3.889093,43.616551
2023-438143,2023-01-04,000001,Vente,163000,7,,IMP ESTEVE,2065,34000,34172,Montpellier,34,,,34172000CL0130,,,20,40.5,4,,,,,,,,2,3,Dépendance,,0,,,,,,3.889093,43.616551
2023-438143,2023-01-04,000001,Vente,163000,7,,IMP ESTEVE,2065,34000,34172,Montpellier,34,,,34172000CL0130,,,20,40.5,4,,,,,,,,2,2,Appartement,41,2,,,,,,3.889093,43.616551
2023-438146,2023-01-04,000001,Vente,82000,779,,RUE DE SAINT HILAIRE,5115,34070,34172,Montpellier,34,,,34172000DR0558,,,2034,21.58,,,,,,,,,1,2,Appartement,21,1,,,,,,3.891022,43.590893
2023-438147,2023-01-04,000001,Vente,330000,192,,RUE DE LA TAILLADE,5423,34070,34172,Montpellier,34,,,34172000KW0111,,,,,,,,,,,,,0,1,Maison,80,3,S,sols,,,455,3.848106,43.609287
2023-438148,2023-01-06,000001,Vente,76000,147,,COUR DES CAMISARDS,0949,34080,34172,Montpellier,34,,,34172000MS0122,,,307,30.25,,,,,,,,,1,2,Appartement,30,1,,,,,,3.846555,43.619867
2023-438154,2023-01-05,000001,Vente,218500,35,,AV DU PONT JUVENAL,4559,34000,34172,Montpellier,34,,,34172000HL0085,,,18,,,,,,,,,,1,2,Appartement,70,3,,,,,,3.886218,43.606132
2023-438158,2023-01-09,000001,Vente,136000,55,,PL PAUL VIGNE D'OCTON,6095,34070,34172,Montpellier,34,,,34172000EZ0429,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.894736,43.601725
2023-438158,2023-01-09,000001,Vente,136000,55,,PL PAUL VIGNE D'OCTON,6095,34070,34172,Montpellier,34,,,34172000EZ0429,,,59,29.43,,,,,,,,,1,2,Appartement,32,2,,,,,,3.894736,43.601725
2023-438162,2023-01-04,000001,Vente,391600,663,,RUE DU PRE AUX CLERCS,4608,34090,34172,Montpellier,34,,,34172000BP0301,,,4326,89.63,4327,,,,,,,,2,3,Dépendance,,0,,,,,,3.873657,43.624511
2023-438162,2023-01-04,000001,Vente,391600,663,,RUE DU PRE AUX CLERCS,4608,34090,34172,Montpellier,34,,,34172000BP0301,,,4326,89.63,4327,,,,,,,,2,3,Dépendance,,0,,,,,,3.873657,43.624511
